Date,Category,Type,Amount
2025-09-28,Transport,Needs,48.69
2025-09-28,Entertainment,Wants,87.16
2025-09-29,Food,Needs,109.35
2025-09-29,Transport,Needs,36.48
2025-09-30,Transport,Needs,40.54
2025-09-30,Entertainment,Wants,129.16
2025-10-01,Rent,Housing,3000.0
2025-10-01,Food,Needs,80.55
2025-10-01,Shopping,Wants,185.26
2025-10-02,Shopping,Wants,433.5
2025-10-03,Entertainment,Wants,213.42
2025-10-04,Food,Needs,57.7
2025-10-04,Transport,Needs,35.11
2025-10-05,Transport,Needs,32.95
2025-10-05,Health,Needs,155.89
2025-10-05,Utilities,Needs,200.71
2025-10-07,Food,Needs,55.02
2025-10-08,Food,Needs,58.5
2025-10-08,Transport,Needs,46.63
2025-10-09,Food,Needs,56.85
2025-10-10,Education,Wants,468.28
2025-10-11,Food,Needs,112.05
2025-10-12,Food,Needs,108.14
2025-10-12,Entertainment,Wants,213.32
2025-10-13,Food,Needs,51.58
2025-10-13,Transport,Needs,27.61
2025-10-14,Food,Needs,115.41
2025-10-14,Transport,Needs,47.97
2025-10-14,Entertainment,Wants,244.08
2025-10-14,Shopping,Wants,485.01
2025-10-14,Education,Wants,317.28
2025-10-15,Transport,Needs,36.87
2025-10-16,Transport,Needs,47.52
2025-10-17,Food,Needs,54.66
2025-10-18,Food,Needs,70.62
2025-10-18,Transport,Needs,30.08
2025-10-18,Shopping,Wants,268.18
2025-10-19,Health,Needs,121.73
2025-10-20,Health,Needs,168.3
2025-10-21,Transport,Needs,19.49
2025-10-22,Entertainment,Wants,89.83
2025-10-22,Shopping,Wants,197.94
2025-10-23,Food,Needs,77.63
2025-10-23,Entertainment,Wants,189.27
2025-10-23,Health,Needs,214.01
2025-10-23,Education,Wants,475.48
2025-10-24,Transport,Needs,30.84
2025-10-24,Entertainment,Wants,241.59
2025-10-24,Health,Needs,112.3
2025-10-25,Food,Needs,103.43
2025-10-27,Transport,Needs,25.31
2025-10-27,Entertainment,Wants,177.53
2025-10-28,Food,Needs,55.17
2025-10-28,Transport,Needs,25.72
2025-10-28,Health,Needs,107.82
2025-10-29,Transport,Needs,30.25
2025-10-29,Health,Needs,155.04
2025-10-30,Education,Wants,275.88
2025-11-01,Rent,Housing,3000.0
2025-11-01,Food,Needs,64.63
2025-11-01,Transport,Needs,17.63
2025-11-02,Food,Needs,58.51
2025-11-02,Entertainment,Wants,128.8
2025-11-02,Health,Needs,210.69
2025-11-02,Education,Wants,330.85
2025-11-03,Food,Needs,75.27
2025-11-03,Transport,Needs,27.56
2025-11-04,Food,Needs,55.46
2025-11-04,Transport,Needs,34.65
2025-11-05,Shopping,Wants,108.15
2025-11-05,Health,Needs,81.56
2025-11-05,Utilities,Needs,312.79
2025-11-06,Food,Needs,96.63
2025-11-06,Entertainment,Wants,171.45
2025-11-06,Health,Needs,254.83
2025-11-07,Food,Needs,51.71
2025-11-07,Transport,Needs,39.24
2025-11-07,Education,Wants,445.31
2025-11-08,Transport,Needs,42.42
2025-11-08,Health,Needs,295.96
2025-11-09,Food,Needs,78.56
2025-11-09,Transport,Needs,33.53
2025-11-09,Education,Wants,580.39
2025-11-11,Food,Needs,103.88
2025-11-11,Transport,Needs,32.78
2025-11-12,Transport,Needs,46.05
2025-11-12,Entertainment,Wants,142.94
2025-11-12,Education,Wants,525.48
2025-11-13,Food,Needs,64.14
2025-11-14,Food,Needs,113.2
2025-11-14,Transport,Needs,40.67
2025-11-15,Food,Needs,102.86
2025-11-15,Transport,Needs,24.05
2025-11-16,Food,Needs,78.37
2025-11-17,Food,Needs,62.84
2025-11-17,Transport,Needs,34.53
2025-11-17,Shopping,Wants,186.55
2025-11-18,Transport,Needs,26.1
2025-11-18,Entertainment,Wants,88.82
2025-11-18,Shopping,Wants,171.78
2025-11-18,Health,Needs,183.53
2025-11-19,Shopping,Wants,447.38
2025-11-20,Transport,Needs,31.35
2025-11-20,Entertainment,Wants,60.28
2025-11-21,Food,Needs,54.94
2025-11-21,Entertainment,Wants,79.84
2025-11-22,Food,Needs,100.96
2025-11-22,Shopping,Wants,309.03
2025-11-24,Transport,Needs,23.7
2025-11-24,Shopping,Wants,169.53
2025-11-24,Health,Needs,50.67
2025-11-25,Transport,Needs,24.38
2025-11-27,Food,Needs,93.18
2025-11-27,Shopping,Wants,166.37
2025-11-28,Transport,Needs,20.81
2025-11-29,Food,Needs,55.36
2025-11-29,Transport,Needs,31.07
2025-11-29,Health,Needs,290.48
2025-11-30,Education,Wants,478.13
2025-12-01,Rent,Housing,3000.0
2025-12-01,Entertainment,Wants,167.07
2025-12-01,Education,Wants,273.98
2025-12-02,Food,Needs,94.68
2025-12-04,Food,Needs,84.31
2025-12-05,Food,Needs,100.43
2025-12-05,Shopping,Wants,319.69
2025-12-05,Utilities,Needs,339.65
2025-12-06,Food,Needs,114.88
2025-12-06,Entertainment,Wants,81.68
2025-12-06,Education,Wants,596.13
2025-12-07,Transport,Needs,20.58
2025-12-08,Food,Needs,105.65
2025-12-08,Entertainment,Wants,160.25
2025-12-10,Food,Needs,104.7
2025-12-10,Transport,Needs,26.62
2025-12-10,Education,Wants,369.29
2025-12-11,Food,Needs,86.79
2025-12-11,Transport,Needs,31.84
2025-12-11,Shopping,Wants,379.0
2025-12-12,Transport,Needs,41.49
2025-12-13,Shopping,Wants,300.92
2025-12-14,Transport,Needs,34.2
2025-12-15,Food,Needs,81.3
2025-12-17,Transport,Needs,18.95
2025-12-18,Food,Needs,56.56
2025-12-19,Food,Needs,103.08
2025-12-19,Transport,Needs,29.16
2025-12-19,Entertainment,Wants,156.23
2025-12-20,Food,Needs,108.06
2025-12-20,Entertainment,Wants,232.57
2025-12-20,Shopping,Wants,284.46
2025-12-21,Food,Needs,103.64
2025-12-21,Shopping,Wants,276.69
2025-12-22,Transport,Needs,25.0
2025-12-22,Shopping,Wants,253.88
2025-12-24,Food,Needs,87.73
2025-12-24,Shopping,Wants,342.56
2025-12-25,Food,Needs,103.26
2025-12-27,Food,Needs,79.39
2025-12-27,Shopping,Wants,218.04
2025-12-28,Food,Needs,85.96
2025-12-29,Transport,Needs,43.55
2025-12-29,Health,Needs,290.72
2025-12-29,Education,Wants,583.25
2025-12-31,Transport,Needs,34.55
2026-01-01,Rent,Housing,3000.0
2026-01-01,Transport,Needs,24.46
2026-01-01,Entertainment,Wants,226.85
2026-01-02,Food,Needs,104.92
2026-01-02,Health,Needs,286.57
2026-01-03,Food,Needs,56.48
2026-01-03,Entertainment,Wants,140.73
2026-01-04,Food,Needs,99.48
2026-01-04,Transport,Needs,30.5
2026-01-04,Entertainment,Wants,147.87
2026-01-04,Education,Wants,285.26
2026-01-05,Food,Needs,113.37
2026-01-05,Entertainment,Wants,187.14
2026-01-05,Utilities,Needs,279.63
2026-01-06,Food,Needs,58.14
2026-01-07,Food,Needs,102.45
2026-01-07,Transport,Needs,20.86
2026-01-07,Shopping,Wants,406.06
2026-01-07,Health,Needs,103.99
2026-01-08,Food,Needs,59.84
2026-01-08,Entertainment,Wants,221.68
2026-01-08,Shopping,Wants,152.0
2026-01-09,Transport,Needs,17.16
2026-01-09,Shopping,Wants,229.51
2026-01-09,Health,Needs,63.1
2026-01-10,Food,Needs,99.71
2026-01-10,Transport,Needs,42.6
2026-01-10,Shopping,Wants,301.54
2026-01-10,Education,Wants,491.61
2026-01-11,Transport,Needs,31.93
2026-01-11,Shopping,Wants,291.59
2026-01-12,Food,Needs,110.65
2026-01-12,Transport,Needs,19.36
2026-01-12,Shopping,Wants,210.01
2026-01-13,Food,Needs,116.31
2026-01-13,Transport,Needs,31.79
2026-01-13,Shopping,Wants,380.71
2026-01-14,Entertainment,Wants,140.31
2026-01-14,Shopping,Wants,235.57
2026-01-15,Food,Needs,78.45
2026-01-15,Shopping,Wants,469.19
2026-01-15,Health,Needs,257.94
2026-01-15,Education,Wants,148.28
2026-01-17,Food,Needs,73.57
2026-01-18,Transport,Needs,35.93
2026-01-18,Entertainment,Wants,181.35
2026-01-18,Shopping,Wants,143.29
2026-01-20,Entertainment,Wants,235.82
2026-01-21,Transport,Needs,27.99
2026-01-21,Entertainment,Wants,223.97
2026-01-21,Education,Wants,416.59
2026-01-22,Food,Needs,99.74
2026-01-22,Transport,Needs,30.66
2026-01-23,Transport,Needs,18.42
2026-01-23,Entertainment,Wants,173.57
2026-01-24,Food,Needs,79.47
2026-01-24,Transport,Needs,41.83
2026-01-24,Entertainment,Wants,135.98
2026-01-25,Transport,Needs,29.84
2026-01-25,Shopping,Wants,220.57
2026-01-25,Health,Needs,84.31
2026-01-26,Food,Needs,50.52
2026-01-26,Entertainment,Wants,126.04
2026-01-27,Transport,Needs,45.39
2026-01-27,Entertainment,Wants,53.75
2026-01-28,Shopping,Wants,108.34
2026-01-29,Shopping,Wants,437.79
2026-01-29,Health,Needs,197.22
2026-01-30,Food,Needs,70.68
2026-01-30,Transport,Needs,27.77
2026-01-30,Entertainment,Wants,152.1
2026-01-30,Shopping,Wants,303.98
2026-01-31,Shopping,Wants,158.58
2026-01-31,Health,Needs,200.6
2026-02-01,Rent,Housing,3000.0
2026-02-01,Food,Needs,101.52
2026-02-01,Transport,Needs,41.81
2026-02-02,Health,Needs,67.07
2026-02-03,Food,Needs,68.31
2026-02-03,Transport,Needs,33.58
2026-02-03,Health,Needs,257.92
2026-02-03,Education,Wants,532.13
2026-02-05,Transport,Needs,43.66
2026-02-05,Utilities,Needs,212.37
2026-02-06,Food,Needs,109.94
2026-02-06,Transport,Needs,40.48
2026-02-06,Shopping,Wants,199.1
2026-02-07,Food,Needs,60.58
2026-02-07,Transport,Needs,26.1
2026-02-08,Transport,Needs,19.82
2026-02-09,Health,Needs,137.46
2026-02-10,Transport,Needs,36.5
2026-02-12,Transport,Needs,28.73
2026-02-12,Shopping,Wants,185.68
2026-02-13,Food,Needs,59.17
2026-02-13,Transport,Needs,44.81
2026-02-13,Entertainment,Wants,204.17
2026-02-13,Education,Wants,268.38
2026-02-14,Transport,Needs,29.22
2026-02-14,Entertainment,Wants,216.27
2026-02-15,Food,Needs,77.39
2026-02-15,Entertainment,Wants,138.84
2026-02-16,Food,Needs,70.63
2026-02-17,Transport,Needs,26.06
2026-02-18,Transport,Needs,25.0
2026-02-18,Education,Wants,522.95
2026-02-19,Transport,Needs,42.1
2026-02-19,Health,Needs,159.37
2026-02-20,Food,Needs,80.08
2026-02-20,Transport,Needs,17.56
2026-02-20,Entertainment,Wants,150.4
2026-02-20,Shopping,Wants,497.81
2026-02-20,Education,Wants,565.41
2026-02-21,Shopping,Wants,214.75
2026-02-22,Food,Needs,97.04
2026-02-22,Transport,Needs,16.84
2026-02-22,Entertainment,Wants,101.18
2026-02-23,Food,Needs,57.41
2026-02-23,Transport,Needs,26.71
2026-02-23,Entertainment,Wants,133.97
2026-02-23,Education,Wants,552.57
2026-02-24,Transport,Needs,33.85
2026-02-24,Entertainment,Wants,78.72
2026-02-25,Food,Needs,94.29
2026-02-25,Transport,Needs,49.16
2026-02-25,Entertainment,Wants,155.21
2026-02-26,Food,Needs,81.34
2026-02-26,Health,Needs,247.13
2026-02-27,Education,Wants,373.01
2026-02-28,Transport,Needs,42.64
2026-03-01,Rent,Housing,3000.0
2026-03-01,Transport,Needs,26.45
2026-03-01,Entertainment,Wants,89.89
2026-03-01,Shopping,Wants,473.35
2026-03-02,Food,Needs,66.89
2026-03-02,Entertainment,Wants,121.39
2026-03-03,Food,Needs,74.53
2026-03-04,Food,Needs,83.17
2026-03-04,Education,Wants,401.23
2026-03-05,Transport,Needs,27.37
2026-03-05,Entertainment,Wants,182.18
2026-03-05,Utilities,Needs,337.95
2026-03-06,Food,Needs,52.82
2026-03-07,Transport,Needs,37.92
2026-03-08,Food,Needs,90.5
2026-03-08,Entertainment,Wants,63.45
2026-03-10,Transport,Needs,29.93
2026-03-10,Shopping,Wants,145.38
2026-03-11,Food,Needs,87.44
2026-03-11,Transport,Needs,25.34
2026-03-12,Food,Needs,58.18
2026-03-12,Education,Wants,440.96
2026-03-13,Transport,Needs,28.25
2026-03-13,Entertainment,Wants,158.43
2026-03-14,Health,Needs,100.25
2026-03-14,Education,Wants,495.19
2026-03-15,Food,Needs,86.93
2026-03-15,Transport,Needs,43.46
2026-03-15,Health,Needs,127.32
2026-03-16,Transport,Needs,42.31
2026-03-16,Shopping,Wants,488.95
2026-03-17,Transport,Needs,45.93
2026-03-17,Health,Needs,291.57
2026-03-18,Transport,Needs,20.81
2026-03-18,Entertainment,Wants,82.93
2026-03-20,Food,Needs,70.19
2026-03-20,Transport,Needs,33.42
2026-03-20,Entertainment,Wants,238.32
2026-03-20,Shopping,Wants,363.49
2026-03-21,Shopping,Wants,118.18
2026-03-23,Food,Needs,113.78
2026-03-23,Transport,Needs,43.49
2026-03-23,Health,Needs,64.98
2026-03-24,Food,Needs,63.6
2026-03-25,Transport,Needs,29.02
2026-03-26,Food,Needs,56.45
2026-03-26,Transport,Needs,29.47
2026-03-26,Shopping,Wants,446.12
2026-03-26,Health,Needs,131.86
2026-03-27,Food,Needs,100.87
2026-03-27,Transport,Needs,33.82
2026-03-27,Health,Needs,286.31
2026-03-28,Transport,Needs,28.43
2026-03-28,Entertainment,Wants,148.98
2026-03-29,Food,Needs,106.48
2026-03-29,Transport,Needs,46.08
2026-03-30,Transport,Needs,35.11
2026-03-30,Entertainment,Wants,150.85
2026-03-31,Transport,Needs,49.17
2026-04-01,Rent,Housing,3000.0
2026-04-01,Food,Needs,83.94
2026-04-01,Transport,Needs,18.18
2026-04-01,Entertainment,Wants,116.61
2026-04-02,Food,Needs,71.86
2026-04-02,Entertainment,Wants,248.12
2026-04-03,Transport,Needs,40.29
2026-04-04,Education,Wants,337.3
2026-04-05,Utilities,Needs,234.1
2026-04-06,Shopping,Wants,372.29
2026-04-06,Health,Needs,287.05
2026-04-06,Education,Wants,109.47
2026-04-07,Food,Needs,60.1
2026-04-08,Transport,Needs,21.27
2026-04-08,Entertainment,Wants,115.01
2026-04-09,Food,Needs,110.81
2026-04-09,Transport,Needs,28.48
2026-04-10,Transport,Needs,24.88
2026-04-10,Shopping,Wants,489.16
2026-04-11,Food,Needs,97.0
2026-04-11,Transport,Needs,28.29
2026-04-11,Education,Wants,438.31
2026-04-12,Food,Needs,115.34
2026-04-13,Transport,Needs,31.41
2026-04-13,Health,Needs,184.64
2026-04-14,Transport,Needs,37.19
2026-04-14,Shopping,Wants,367.93
2026-04-15,Food,Needs,77.55
2026-04-15,Entertainment,Wants,204.15
2026-04-15,Shopping,Wants,320.14
2026-04-16,Shopping,Wants,485.57
2026-04-17,Transport,Needs,35.8
2026-04-18,Food,Needs,108.82
2026-04-18,Transport,Needs,47.32
2026-04-19,Shopping,Wants,327.18
2026-04-19,Health,Needs,295.75
2026-04-20,Transport,Needs,33.13
2026-04-21,Food,Needs,60.83
2026-04-21,Transport,Needs,25.24
2026-04-21,Entertainment,Wants,197.32
2026-04-22,Food,Needs,107.08
2026-04-22,Health,Needs,217.31
2026-04-23,Food,Needs,71.57
2026-04-23,Transport,Needs,25.36
2026-04-23,Entertainment,Wants,200.75
2026-04-24,Food,Needs,93.58
2026-04-24,Entertainment,Wants,73.64
2026-04-25,Shopping,Wants,466.45
2026-04-26,Food,Needs,58.9
2026-04-26,Transport,Needs,41.59
2026-04-27,Food,Needs,94.27
2026-04-27,Transport,Needs,24.92
2026-04-27,Health,Needs,161.69
2026-04-28,Food,Needs,87.61
2026-04-28,Transport,Needs,34.92
2026-04-28,Health,Needs,132.03
2026-04-29,Food,Needs,63.69
2026-04-29,Entertainment,Wants,152.08
2026-04-30,Food,Needs,53.85
2026-04-30,Transport,Needs,43.56
2026-05-01,Rent,Housing,3000.0
2026-05-01,Food,Needs,72.97
2026-05-01,Transport,Needs,49.8
2026-05-01,Shopping,Wants,473.51
2026-05-01,Health,Needs,152.22
2026-05-04,Transport,Needs,22.62
2026-05-05,Food,Needs,51.52
2026-05-05,Transport,Needs,39.12
2026-05-05,Utilities,Needs,269.23
2026-05-06,Food,Needs,112.49
2026-05-06,Entertainment,Wants,211.9
2026-05-07,Food,Needs,63.74
2026-05-07,Transport,Needs,17.79
2026-05-07,Health,Needs,235.14
2026-05-08,Food,Needs,64.48
2026-05-08,Entertainment,Wants,150.78
2026-05-09,Food,Needs,89.86
2026-05-09,Health,Needs,215.05
2026-05-10,Food,Needs,54.06
2026-05-11,Food,Needs,114.82
2026-05-12,Food,Needs,75.1
2026-05-13,Education,Wants,221.43
2026-05-14,Food,Needs,93.11
2026-05-14,Shopping,Wants,389.83
2026-05-14,Health,Needs,117.12
2026-05-15,Entertainment,Wants,202.34
2026-05-16,Transport,Needs,48.57
2026-05-16,Entertainment,Wants,237.43
2026-05-16,Health,Needs,299.89
2026-05-17,Food,Needs,90.29
2026-05-17,Transport,Needs,47.17
2026-05-18,Food,Needs,67.44
2026-05-18,Transport,Needs,33.24
2026-05-18,Entertainment,Wants,246.26
2026-05-19,Food,Needs,77.6
2026-05-19,Entertainment,Wants,79.18
2026-05-20,Food,Needs,60.16
2026-05-20,Transport,Needs,29.33
2026-05-21,Food,Needs,104.77
2026-05-21,Health,Needs,248.74
2026-05-22,Transport,Needs,47.23
2026-05-22,Health,Needs,58.46
2026-05-24,Transport,Needs,33.52
2026-05-25,Food,Needs,82.52
2026-05-25,Transport,Needs,35.05
2026-05-25,Entertainment,Wants,155.88
2026-05-25,Education,Wants,506.58
2026-05-26,Shopping,Wants,138.53
2026-05-26,Health,Needs,97.98
2026-05-27,Transport,Needs,29.9
2026-05-28,Food,Needs,95.6
2026-05-28,Education,Wants,289.63
2026-05-29,Transport,Needs,16.98
2026-05-29,Entertainment,Wants,149.97
2026-05-30,Transport,Needs,34.27
2026-05-30,Entertainment,Wants,92.28
2026-05-31,Food,Needs,54.96
2026-05-31,Health,Needs,282.19
2026-06-01,Rent,Housing,3000.0
2026-06-01,Health,Needs,90.61
2026-06-02,Transport,Needs,46.55
2026-06-02,Health,Needs,297.12
2026-06-03,Food,Needs,114.95
2026-06-03,Transport,Needs,31.24
2026-06-04,Food,Needs,101.57
2026-06-04,Transport,Needs,25.78
2026-06-05,Food,Needs,95.31
2026-06-05,Entertainment,Wants,173.72
2026-06-05,Education,Wants,177.11
2026-06-05,Utilities,Needs,342.34
2026-06-06,Shopping,Wants,102.08
2026-06-07,Food,Needs,58.83
2026-06-07,Transport,Needs,31.63
2026-06-07,Health,Needs,138.48
2026-06-07,Education,Wants,399.02
2026-06-08,Food,Needs,75.68
2026-06-08,Transport,Needs,29.59
2026-06-08,Entertainment,Wants,230.23
2026-06-09,Food,Needs,75.38
2026-06-09,Transport,Needs,26.7
2026-06-09,Shopping,Wants,273.87
2026-06-10,Food,Needs,66.78
2026-06-10,Transport,Needs,37.5
2026-06-10,Shopping,Wants,142.79
2026-06-11,Food,Needs,91.35
2026-06-12,Transport,Needs,27.36
2026-06-12,Shopping,Wants,225.67
2026-06-13,Food,Needs,96.33
2026-06-13,Transport,Needs,35.86
2026-06-13,Entertainment,Wants,125.21
2026-06-13,Education,Wants,381.93
2026-06-14,Transport,Needs,39.39
2026-06-15,Food,Needs,69.42
2026-06-16,Transport,Needs,38.62
2026-06-16,Health,Needs,297.68
2026-06-17,Food,Needs,83.77
2026-06-18,Transport,Needs,37.94
2026-06-18,Entertainment,Wants,203.79
2026-06-19,Food,Needs,115.57
2026-06-20,Food,Needs,67.25
2026-06-20,Transport,Needs,33.96
2026-06-21,Health,Needs,76.14
2026-06-22,Transport,Needs,48.02
2026-06-22,Entertainment,Wants,112.38
2026-06-22,Health,Needs,170.73
2026-06-23,Food,Needs,96.45
2026-06-23,Transport,Needs,26.68
2026-06-23,Shopping,Wants,439.67
2026-06-24,Food,Needs,115.59
2026-06-24,Transport,Needs,22.48
2026-06-24,Entertainment,Wants,161.97
2026-06-24,Health,Needs,151.26
2026-06-25,Transport,Needs,17.64
2026-06-25,Shopping,Wants,336.88
2026-06-26,Food,Needs,100.16
2026-06-26,Entertainment,Wants,70.35
2026-06-26,Health,Needs,131.5
2026-06-27,Food,Needs,107.51
2026-06-27,Transport,Needs,37.97
2026-06-29,Food,Needs,58.93
2026-06-29,Transport,Needs,26.85
2026-06-29,Entertainment,Wants,188.69
2026-06-29,Education,Wants,291.85
2026-06-30,Food,Needs,92.37
2026-07-01,Rent,Housing,3000.0
2026-07-01,Food,Needs,80.07
2026-07-01,Transport,Needs,28.63
2026-07-01,Entertainment,Wants,77.31
2026-07-02,Food,Needs,95.65
2026-07-02,Transport,Needs,44.66
2026-07-02,Shopping,Wants,112.34
2026-07-03,Food,Needs,85.84
2026-07-03,Transport,Needs,31.91
2026-07-03,Education,Wants,157.1
2026-07-04,Health,Needs,229.75
2026-07-05,Transport,Needs,44.34
2026-07-05,Utilities,Needs,269.72
2026-07-06,Transport,Needs,49.8
2026-07-06,Shopping,Wants,424.28
2026-07-07,Entertainment,Wants,77.85
2026-07-07,Shopping,Wants,182.78
2026-07-07,Health,Needs,137.7
2026-07-08,Food,Needs,71.58
2026-07-09,Transport,Needs,48.76
2026-07-10,Food,Needs,107.74
2026-07-10,Transport,Needs,40.38
2026-07-11,Transport,Needs,30.47
2026-07-11,Education,Wants,357.81
2026-07-12,Food,Needs,112.42
2026-07-12,Transport,Needs,48.34
2026-07-12,Shopping,Wants,409.65
2026-07-13,Food,Needs,94.28
2026-07-13,Transport,Needs,18.78
2026-07-13,Shopping,Wants,271.86
2026-07-13,Health,Needs,117.13
2026-07-14,Food,Needs,88.53
2026-07-14,Education,Wants,149.79
2026-07-15,Transport,Needs,20.81
2026-07-15,Health,Needs,289.51
2026-07-16,Transport,Needs,38.33
2026-07-16,Entertainment,Wants,236.55
2026-07-17,Food,Needs,110.25
2026-07-17,Transport,Needs,29.88
2026-07-17,Health,Needs,213.87
2026-07-18,Food,Needs,81.79
2026-07-18,Transport,Needs,24.21
2026-07-18,Shopping,Wants,378.24
2026-07-19,Food,Needs,58.81
2026-07-19,Transport,Needs,29.44
2026-07-19,Shopping,Wants,225.34
2026-07-19,Education,Wants,486.73
2026-07-20,Transport,Needs,49.76
2026-07-20,Entertainment,Wants,156.1
2026-07-20,Shopping,Wants,360.01
2026-07-21,Transport,Needs,30.39
2026-07-21,Health,Needs,75.12
2026-07-22,Transport,Needs,48.77
2026-07-22,Shopping,Wants,210.79
2026-07-22,Health,Needs,188.35
2026-07-24,Food,Needs,83.97
2026-07-24,Shopping,Wants,459.17
2026-07-25,Food,Needs,83.31
2026-07-26,Food,Needs,107.39
2026-07-27,Transport,Needs,18.92
2026-07-27,Shopping,Wants,124.19
2026-07-28,Transport,Needs,30.51
2026-07-28,Shopping,Wants,314.63
2026-07-29,Food,Needs,84.09
2026-07-29,Transport,Needs,43.6
2026-07-30,Transport,Needs,39.96
2026-07-30,Health,Needs,71.55
2026-07-31,Food,Needs,90.59
2026-07-31,Transport,Needs,41.39
2026-07-31,Shopping,Wants,383.16
2026-08-01,Rent,Housing,3000.0
2026-08-01,Food,Needs,102.2
2026-08-01,Entertainment,Wants,75.39
2026-08-02,Transport,Needs,43.57
2026-08-02,Shopping,Wants,384.93
2026-08-02,Education,Wants,327.6
2026-08-03,Food,Needs,83.31
2026-08-03,Health,Needs,193.48
2026-08-04,Food,Needs,83.92
2026-08-04,Transport,Needs,45.43
2026-08-04,Entertainment,Wants,144.35
2026-08-04,Health,Needs,282.79
2026-08-05,Utilities,Needs,344.06
2026-08-06,Food,Needs,55.19
2026-08-06,Transport,Needs,33.4
2026-08-06,Shopping,Wants,421.74
2026-08-07,Food,Needs,81.01
2026-08-07,Transport,Needs,44.83
2026-08-07,Health,Needs,100.17
2026-08-08,Food,Needs,91.51
2026-08-08,Transport,Needs,36.39
2026-08-08,Health,Needs,275.11
2026-08-09,Food,Needs,50.43
2026-08-09,Transport,Needs,24.43
2026-08-10,Food,Needs,93.82
2026-08-10,Shopping,Wants,311.93
2026-08-10,Health,Needs,173.01
2026-08-10,Education,Wants,598.48
2026-08-11,Transport,Needs,47.38
2026-08-12,Transport,Needs,19.85
2026-08-12,Entertainment,Wants,213.99
2026-08-12,Shopping,Wants,327.13
2026-08-13,Food,Needs,67.4
2026-08-13,Transport,Needs,43.36
2026-08-14,Food,Needs,63.51
2026-08-14,Shopping,Wants,165.75
2026-08-15,Food,Needs,114.31
2026-08-15,Transport,Needs,26.94
2026-08-15,Shopping,Wants,163.05
2026-08-16,Transport,Needs,44.53
2026-08-16,Shopping,Wants,199.29
2026-08-17,Transport,Needs,49.69
2026-08-17,Entertainment,Wants,130.88
2026-08-18,Food,Needs,103.59
2026-08-18,Transport,Needs,17.07
2026-08-18,Health,Needs,255.92
2026-08-19,Education,Wants,132.24
2026-08-20,Transport,Needs,20.96
2026-08-20,Education,Wants,330.5
2026-08-21,Food,Needs,88.26
2026-08-21,Shopping,Wants,373.29
2026-08-21,Health,Needs,103.68
